Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
Tomcat;6.0.389418;org.apache.catalina.realm.MemoryUserRule;2;2;0;4;7;1;1;;2;2.0;39;0.0;0;0.9166667;0.6666667;0;0;18.5;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.apr.TomcatStarter;4;1;0;1;25;2;0;;3;0.41666666;174;0.0;1;0.0;0.5555556;0;0;41.5;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.SmapUtil;7;1;0;16;48;21;4;;4;1.0833334;286;0.5;0;0.0;0.19642857;0;0;39.57143;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.SetRootRule;8;2;0;4;23;16;1;;8;0.42857143;165;1.0;0;0.73333335;0.46875;1;1;19.25;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.jsse.JSSESocketFactory;18;2;2;5;59;113;2;;6;0.93582886;499;0.54545456;0;0.33333334;0.22875817;0;0;26.11111;;;;;;;2
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionTokenizer;6;1;0;1;11;1;1;;5;1.0705882;308;0.23529412;0;0.0;0.44444445;0;0;47.5;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.SSLImplementation;7;1;2;8;22;15;4;;6;0.9166667;117;1.0;0;0.0;0.33333334;0;0;15.142858;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetCookiesPrivilegedAction;3;1;0;3;5;1;1;;1;0.0;19;0.0;1;0.0;0.6666667;0;0;5.0;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstMod;2;4;0;5;5;1;1;;2;2.0;24;0.0;0;0.9756098;0.6666667;0;0;11.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.servlets.CGIServlet$HTTPHeaderInputStream;2;2;0;2;4;0;1;;1;1.375;73;0.875;1;0.9;0.6666667;1;1;31.5;;;;;;;0
Tomcat;6.0.389418;org.apache.coyote.ajp.AjpMessage;26;1;0;7;66;0;1;;23;0.544;923;1.0;1;0.0;0.21714285;0;0;34.307693;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.Contained;2;1;0;4;2;1;3;;2;2.0;2;0.0;0;0.0;0.75;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.Group;11;1;0;16;11;55;15;;11;2.0;11;0.0;0;0.0;0.4848485;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.juli.ClassLoaderLogManager$1;2;1;0;1;6;0;1;;1;0.33333334;26;0.0;1;0.0;0.625;0;0;10.5;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.SmapStratum$LineInfo;13;1;0;1;25;26;1;;8;0.6805556;238;1.0;0;0.0;0.46153846;0;0;16.846153;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.collections.LRUCache;7;1;0;1;13;0;1;;5;0.5;221;1.0;2;0.0;0.42857143;0;0;29.857143;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$Declaration;3;3;0;15;6;3;11;;3;2.0;24;0.0;0;0.98;0.6111111;0;0;7.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.DefaultContextMBean;12;2;0;10;55;36;0;;10;0.72727275;470;1.0;1;0.8039216;0.77272725;0;0;37.916668;;;;;;;0
Tomcat;6.0.389418;org.apache.juli.ClassLoaderLogManager;12;2;0;6;78;36;4;;7;0.36363637;663;1.0;0;0.7659575;0.35;1;10;54.083332;;;;;;;2
Tomcat;6.0.389418;org.apache.jasper.runtime.ProtectedFunctionMapper$3;2;1;0;2;4;1;1;;1;2.0;10;0.0;0;0.0;1.0;0;0;4.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.XMLWriter;12;1;0;2;21;0;2;;12;0.8363636;304;0.4;0;0.0;0.45833334;0;0;23.916666;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Procattr;14;1;0;1;15;91;0;;14;2.0;17;0.0;0;0.0;0.32857144;0;0;0.21428572;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.IntrospectionUtils$1;2;1;0;1;4;0;1;;1;0.0;18;0.0;0;0.0;0.8333333;0;0;7.5;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.Loader;14;1;0;19;14;91;19;;14;2.0;14;0.0;0;0.0;0.2857143;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.IterationTag;1;1;0;0;1;0;0;;1;2.0;2;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11AprProcessor;46;1;0;41;210;777;1;;33;0.9123457;2793;1.0;8;0.0;0.115277775;0;0;58.934784;;;;;;;1
Tomcat;6.0.389418;org.apache.tomcat.util.http.FastHttpDateFormat;7;1;0;7;24;13;7;;4;0.8333333;314;1.0;0;0.0;0.21428572;0;0;42.857143;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.ContextResourceLinkMBean;2;2;0;3;10;1;0;;2;2.0;38;0.0;0;0.97619045;0.75;1;1;18.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.mbeans.MBeanFactory;37;2;0;39;175;660;2;;30;0.9444444;1350;1.0;0;0.5394737;0.43333334;0;0;35.405407;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.EjbRef;3;2;0;3;8;3;3;;3;1.5;73;0.0;0;0.9375;0.8333333;0;0;22.0;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.resources.WARDirContext;34;2;0;11;94;439;3;;28;0.7373737;696;1.0;1;0.68421054;0.17099567;1;15;19.382353;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.ServerInfo;6;1;0;6;17;9;6;;5;0.6;150;1.0;0;0.0;0.2;0;0;23.5;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIMediator;24;1;0;18;68;156;13;;19;0.8896321;590;1.0;4;0.0;0.23671497;0;0;23.041666;;;;;;;1
Tomcat;6.0.389418;org.apache.tomcat.util.threads.Reaper;10;2;0;4;21;0;1;;9;0.6944444;218;0.375;1;0.89705884;0.31111112;1;1;20.0;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstEmpty;3;3;0;4;9;3;1;;3;2.0;63;0.0;0;0.9512195;0.6666667;0;0;20.0;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.resources.ImmutableNameNotFoundException;6;5;0;1;7;15;1;;6;2.0;14;0.0;0;0.8648649;0.45833334;1;1;1.3333334;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Pool;14;1;0;3;15;91;3;;14;2.0;17;0.0;0;0.0;0.2857143;0;0;0.21428572;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagAttributeInfo;15;1;0;0;24;61;0;;15;0.8181818;257;0.90909094;0;0.0;0.35;0;0;15.4;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.Queue;7;1;0;0;16;0;0;;7;0.0;63;1.0;0;0.0;0.5714286;0;0;7.857143;;;;;;;0
Tomcat;6.0.389418;org.apache.coyote.http11.Http11Processor;51;1;0;40;207;999;4;;38;0.9072222;2594;1.0;9;0.0;0.092;0;0;49.156864;;;;;;;4
Tomcat;6.0.389418;org.apache.catalina.deploy.ContextEjb;8;2;0;3;15;0;2;;8;0.5714286;125;1.0;0;0.6315789;0.6875;0;0;14.25;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ant.jmx.JMXAccessorInvokeTask;9;5;0;3;23;4;0;;8;0.7083333;158;1.0;0;0.92523366;0.33333334;1;1;16.222221;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.threads.ThreadPool$MonitorRunnable;6;1;0;2;21;1;1;;5;0.55;98;0.0;1;0.0;0.44444445;0;0;14.666667;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JavacErrorDetail;7;1;0;7;9;7;7;;7;0.7;55;1.0;0;0.0;0.4642857;0;0;6.142857;;;;;;;1
Tomcat;6.0.389418;org.apache.catalina.startup.ClusterRuleSetFactory$DefaultClusterRuleSet;3;2;0;3;10;1;1;;3;0.0;280;1.0;0;0.6666667;0.5555556;1;1;92.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.connector.RequestFacade$GetCharacterEncodingPrivilegedAction;3;1;0;3;5;1;1;;1;0.0;19;0.0;1;0.0;0.6666667;0;0;5.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.servlets.CGIServlet$CGIRunner$1;2;2;0;1;4;0;1;;1;0.0;19;0.0;1;0.983871;0.6666667;0;0;7.5;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstBracketSuffix;2;3;0;4;4;1;1;;2;2.0;13;0.0;0;0.975;0.6666667;0;0;5.5;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$JspText;25;2;0;11;50;300;5;;25;2.0;116;0.0;0;0.52;0.19;1;6;3.64;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.NamingContext;36;1;0;11;94;464;3;;31;0.5619048;970;1.0;1;0.0;0.3102041;0;0;25.777779;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.runtime.JspRuntimeLibrary;47;1;0;7;162;1081;3;;44;1.0217391;2279;1.0;0;0.0;0.10414334;0;0;47.446808;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagAdapter;8;1;0;0;12;22;0;;8;0.9047619;81;1.0;2;0.0;0.34375;0;0;8.75;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Validator$ValidateVisitor;43;2;0;48;211;0;4;;23;0.9135338;2511;1.0;17;0.46052632;0.06349207;2;2;56.953487;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.SSLContext;14;1;0;1;15;91;1;;14;2.0;17;0.0;0;0.0;0.4;0;0;0.21428572;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.tagplugins.jstl.core.Param;2;1;0;2;10;1;0;;2;2.0;273;0.0;0;0.0;0.75;0;0;135.5;;;;;;;0
Tomcat;6.0.389418;org.apache.juli.ClassLoaderLogManager$3;2;1;0;1;4;0;1;;1;0.0;20;0.0;0;0.0;0.75;0;0;8.0;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.File;41;1;0;3;42;820;1;;41;1.025;113;0.0;0;0.0;0.20975609;0;0;0.07317073;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.tagext.TagData;8;1;0;0;14;0;0;;7;0.5714286;95;0.5;0;0.0;0.37142858;0;0;10.625;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.common.JniHandler;17;2;3;16;76;40;3;;12;0.8472222;586;0.5555556;1;0.61538464;0.30208334;1;1;32.941177;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.startup.SetAllPropertiesRule;2;2;0;5;10;1;2;;2;2.0;36;0.0;0;0.9166667;0.6666667;1;1;17.0;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.PasswordCallback;1;1;0;1;1;0;1;;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.users.MemoryGroupCreationFactory;4;1;0;5;15;0;1;;4;0.5;102;1.0;2;0.0;0.4375;0;0;24.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.Authenticator;0;1;0;3;0;0;3;;0;2.0;0;0.0;0;0.0;0.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.Service;11;1;0;13;11;55;11;;11;2.0;11;0.0;0;0.0;0.29090908;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$2;3;3;0;0;12;0;0;;0;0.0;74;0.0;1;0.9285714;0.5555556;2;3;23.333334;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JspConfig$JspPropertyGroup;4;1;0;2;5;0;1;;3;0.6666667;28;1.0;1;0.0;0.5;0;0;5.25;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$Node;3;1;2;11;4;3;10;;1;0.5;14;0.0;1;0.0;0.6666667;0;0;3.3333333;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.tagplugins.jstl.core.Redirect;2;1;0;2;11;1;0;;2;2.0;203;0.0;0;0.0;0.75;0;0;100.5;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.LifecycleListener;1;1;0;35;1;0;34;;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ssi.SSIPrintenv;2;1;0;3;12;1;1;;2;2.0;55;0.0;0;0.0;0.6;0;0;26.5;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.Constants;1;1;0;0;2;0;0;;1;2.0;5;0.0;0;0.0;1.0;0;0;3.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Generator;44;1;0;26;166;428;9;;2;0.8806202;2361;1.0;7;0.0;0.14164905;0;0;52.31818;;;;;;;6
Tomcat;6.0.389418;org.apache.tomcat.util.digester.ObjectCreateRule;11;2;0;3;28;47;1;;11;0.4;177;1.0;0;0.78571427;0.47272727;1;2;14.909091;;;;;;;0
Tomcat;6.0.389418;javax.el.ELContextListener;1;1;0;0;1;0;0;;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstAnd;2;4;0;4;6;1;1;;2;2.0;33;0.0;0;0.9756098;0.6666667;1;1;15.5;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.startup.Bootstrap;21;1;0;5;75;118;0;;15;0.8388889;720;1.0;1;0.0;0.26;0;0;32.857143;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstTrue;2;4;0;3;3;1;1;;2;2.0;8;0.0;0;0.9756098;0.6666667;0;0;3.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$AttributeDirective;26;2;0;13;51;325;7;;26;2.0;126;0.0;0;0.52;0.20192307;1;6;3.8461537;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.resources.ResourceCache;19;1;0;3;32;79;2;;16;0.82222223;612;1.0;1;0.0;0.2631579;0;0;30.68421;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.config.IISConfig;14;2;0;5;51;25;0;;3;0.9010989;555;0.42857143;0;0.7209302;0.5192308;1;4;38.142857;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.http.NamesEnumerator;4;1;0;2;9;0;1;;2;0.25;91;0.0;1;0.0;0.625;0;0;20.75;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.servlets.WebdavServlet;31;4;0;14;176;311;2;;2;0.96805555;4485;1.0;1;0.67777777;0.25277779;4;8;142.90323;;;;;;;2
Tomcat;6.0.389418;org.apache.el.lang.ELArithmetic$BigIntegerDelegate;9;2;0;1;18;36;1;;2;2.0;75;0.0;0;0.6666667;0.4722222;1;4;7.3333335;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.runtime.ServletResponseWrapperInclude;4;3;0;2;8;2;2;;4;0.6666667;33;1.0;1;0.92105263;0.5;0;0;6.75;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$10;5;3;0;0;14;0;0;;0;0.0;59;0.0;1;0.8666667;0.5;1;5;10.6;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.tagplugins.jstl.Util$ImportResponseWrapper;11;3;0;1;20;27;1;;10;0.8142857;122;1.0;1;0.7777778;0.24242425;0;0;9.454545;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.core.ContainerBase;71;1;4;34;174;1809;14;;62;0.91785717;1902;1.0;8;0.0;0.06938776;0;0;25.394365;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.ProcessEnvironment;20;1;1;3;50;134;1;;12;0.83732057;342;1.0;1;0.0;0.28070176;0;0;15.55;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.TagConstants;0;1;0;8;0;0;8;;0;2.0;57;0.0;0;0.0;0.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.TldLocationsCache;13;1;0;11;75;48;5;;5;0.8819444;876;0.75;1;0.0;0.27380952;0;0;65.46154;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.deploy.ResourceBase;13;1;5;6;20;34;5;;12;0.8;89;1.0;1;0.0;0.40384614;0;0;5.4615383;;;;;;;0
Tomcat;6.0.389418;javax.servlet.http.HttpUtils;6;1;0;0;39;13;0;;4;1.0;312;1.0;0;0.0;0.23333333;0;0;50.666668;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.TextOptimizer$TextCatVisitor;11;2;0;13;23;49;1;;9;0.68;109;1.0;2;0.7777778;0.18181819;1;2;8.454545;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.SmapUtil$PreScanVisitor;4;2;0;5;10;0;1;;1;0.0;39;0.0;0;0.9459459;0.5;1;1;8.5;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.config.WebXml2Jk$MappingGenerator;8;1;0;4;8;28;4;;8;2.0;8;0.0;0;0.0;0.33333334;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.connector.CoyoteWriter;32;3;0;2;45;426;1;;28;0.29032257;265;1.0;1;0.6551724;0.16715543;2;12;7.1875;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JDTCompiler$1;7;1;0;10;29;15;1;;4;0.33333334;365;0.0;1;0.0;0.4047619;0;0;50.57143;;;;;;;0
Tomcat;6.0.389418;javax.el.FunctionMapper;2;1;6;0;3;1;0;;2;2.0;5;0.0;0;0.0;0.75;0;0;1.5;;;;;;;0
Tomcat;6.0.389418;javax.servlet.http.HttpSessionListener;2;1;0;0;2;1;0;;2;2.0;2;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$UninterpretedTag;27;2;0;15;52;349;8;;27;0.96153843;126;1.0;1;0.5;0.16872428;1;6;3.6296296;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.authenticator.DigestAuthenticator;10;3;0;10;56;25;0;;3;0.7777778;514;1.0;1;0.85714287;0.33333334;1;3;49.9;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Validator$ValidateVisitor$NamedAttributeVisitor;4;2;0;7;6;4;1;;2;0.6666667;27;1.0;0;0.9459459;0.5;1;1;5.5;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.URL;21;1;0;1;55;68;1;;19;0.62222224;1188;1.0;0;0.0;0.25396827;0;0;55.142857;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.AprEndpoint$SendfileData;1;1;0;2;2;0;2;;1;2.0;12;0.0;0;0.0;1.0;0;0;3.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ServerFactory;4;1;0;8;6;0;7;;3;0.33333334;24;1.0;1;0.0;0.33333334;0;0;4.75;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.AprEndpoint$WorkerStack;6;1;0;2;7;0;1;;6;0.46666667;69;0.6666667;2;0.0;0.375;0;0;10.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.core.ApplicationHttpRequest$AttributeNamesEnumerator;4;1;0;1;12;0;1;;3;0.2;138;0.8;1;0.0;0.625;0;0;32.25;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Node$InvokeAction;26;2;0;13;51;325;7;;26;2.0;126;0.0;0;0.52;0.20192307;1;6;3.8461537;;;;;;;0
Tomcat;6.0.389418;javax.servlet.jsp.el.ImplicitObjectELResolver$ScopeManager$5;3;3;0;0;8;0;0;;0;0.0;24;0.0;1;0.9285714;0.5555556;1;2;6.6666665;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.DefaultErrorHandler;5;1;0;5;21;10;1;;4;2.0;129;0.0;0;0.0;0.52;0;0;24.8;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.xmlparser.XMLStringBuffer;11;2;0;2;15;37;1;;11;1.1;230;0.0;0;0.54545456;0.33333334;1;9;19.818182;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$StringNode;4;2;0;5;10;0;2;;4;0.22222222;51;0.0;1;0.25;0.5;0;0;11.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.startup.SetJspConfig;2;2;0;2;4;0;1;;2;0.0;21;1.0;0;0.9166667;0.6666667;0;0;9.0;;;;;;;0
Tomcat;6.0.389418;org.apache.el.parser.AstDiv;2;4;0;5;5;1;1;;2;2.0;24;0.0;0;0.9756098;0.6666667;0;0;11.0;;;;;;;0
